outcome,representation,eeg_id,channel,band,n,r_pearson,p_raw_parametric,permutation_exceedances,p_permutation,p_maxT_block64,p_maxT_outcome192,p_maxT_global576,q_BH_raw_block64,q_BH_raw_outcome192,q_BH_raw_global576,q_BH_permutation_block64,q_BH_permutation_outcome192,q_BH_permutation_global576,q_BY_permutation_global576
MSPSS,OC,EEG42,F7,theta,25,0.0709961714770961,0.7359411941689152,7382,0.7382261773822618,0.950904909509049,0.999000099990001,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG43,F7,alpha,25,0.164040266377693,0.4333100885426595,4324,0.4324567543245675,0.6172382761723828,0.8769123087691231,0.9903009699030098,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG44,F7,beta,25,0.0842108306810576,0.6890019080111871,6880,0.688031196880312,0.9105089491050896,0.9953004699530048,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG45,F8,delta,25,0.1034814027804944,0.6225477592675565,6216,0.6216378362163784,0.8398160183981602,0.9812018798120188,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG46,F8,theta,25,0.0684765178195784,0.745002545595211,7472,0.7472252774722528,0.957004299570043,0.9992000799920008,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG47,F8,alpha,25,0.1628380003148188,0.4367347521672996,4367,0.4367563243675632,0.6223377662233777,0.8795120487951205,0.9906009399060094,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG48,F8,beta,25,0.0862536752602387,0.6818393038088544,6819,0.6819318068193181,0.903009699030097,0.9945005499450056,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG49,T7,delta,25,0.1060023132918814,0.6140493859150735,6130,0.613038696130387,0.8308169183081692,0.979002099790021,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG50,T7,theta,25,0.0714973193465457,0.734142968277771,7356,0.7356264373562644,0.9495050494950504,0.9989001099890013,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG51,T7,alpha,25,0.1654444967518443,0.4293285467910998,4282,0.4282571742825717,0.6119388061193881,0.8736126387361264,0.99000099990001,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG52,T7,beta,25,0.0869193906216293,0.6795109099032085,6792,0.6792320767923208,0.9009099090090992,0.9942005799420058,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG53,T8,delta,25,0.0984338857977926,0.6397046195285268,6377,0.6377362263773623,0.8591140885911409,0.9857014298570144,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG54,T8,theta,25,0.0599576288816204,0.7758769350106672,7780,0.778022197780222,0.973902609739026,0.999900009999,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG55,T8,alpha,25,0.1572464366207731,0.452851974646557,4536,0.4536546345365463,0.6423357664233577,0.8928107189281071,0.9917008299170084,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG56,T8,beta,25,0.082893779880384,0.693633616736388,6945,0.6945305469453055,0.9149085091490852,0.9956004399560044,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG57,P7,delta,25,0.1044015904139814,0.6194401496346529,6180,0.6180381961803819,0.837016298370163,0.9802019798020198,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG58,P7,theta,25,0.0621322543439778,0.7679620828158108,7705,0.7705229477052294,0.9697030296970304,0.9998000199980002,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG59,P7,alpha,25,0.1501227051959612,0.4738309772912057,4710,0.4710528947105289,0.6668333166683331,0.9074092590740926,0.9942005799420058,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
